Year,Station Number,City,Location,Type,Valid Hour,10th Percentile,30th Percentile,50th Percentile,70th Percentile,90th Percentile,99 Percentile,Mean,1-Hour Maximum,24-Hour  Maximum
2004,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8653,0,1,2,5,12,29,4.5,40,33
2003,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8458,1,2,4,6,12,26,5.5,51,31
2012,77219,Sudbury,1222 Ramsey Lake Rd.,A,8754,0,1,3,5,9,19,4,50,33
2011,77219,Sudbury,1222 Ramsey Lake Rd.,A,8712,0,2,3,5,9,19,4,38,22
2010,77219,Sudbury,1222 Ramsey Lake Rd.,A,8728,0,1,2,4,9,18,3.6,31,16
2009,77219,Sudbury,1222 Ramsey Lake Rd.,A,8598,0,1,2,4,8,15,3.4,27,13
2008,77219,Sudbury,1222 Ramsey Lake Rd.,A,8561,0,2,3,5,9,21,4.1,42,23
2007,77219,Sudbury,1222 Ramsey Lake Rd.,A,8465,0,2,3,5,12,31,4.9,46,32
2006,77219,Sudbury,1222 Ramsey Lake Rd.,A,8680,0,2,3,5,11,23,4.6,36,27
2005,77219,Sudbury,1222 Ramsey Lake Rd.,A,8571,0,1,3,5,13,36,5.1,69,40
2004,77219,Sudbury,1222 Ramsey Lake Rd.,A,4455,0,1,2,4,13,26,4.3,44,25
2022,77233,Sudbury,155 Elm St.,A,8707,1,3,4,6,11,21,5.23,45,19
2021,77233,Sudbury,155 Elm St.,A,8694,2,3,4,6,11,28,5.79,163,48.8
2020,77233,Sudbury,155 Elm St.,A,8730,2,3,4,6,10,20,5.1,41,19.8
2019,77233,Sudbury,155 Elm St.,A,8706,1,2,4,6,10,22,5,75,22
2018,77233,Sudbury,155 Elm St.,A,8673,1,2,4,6,11,22,5.4,95,23.1
2017,77233,Sudbury,155 Elm St.,A,8335,1,3,4,6,10,19,5,39,15
2016,77233,Sudbury,155 Elm Street,A,8731,2,3,4,6,11,21,5.4,64,17
2015,77233,Sudbury,155 Elm St.,A,8730,2,3,5,7,13,23,6.3,47,17
2014,77233,Sudbury,155 Elm Street,A,8693,2,3,5,7,12,22,6,60,24
2013,77233,Sudbury,155 Elm Street,A,8665,2,3,4,6,12,23,5.7,50,24
